Probe	GeneID	MOCK_1	MOCK_2	MOCK_3	TATCRE.1	TATCRE_2	TATCRE_3
rIipBc1EgIh897R1SI	INCA1	7.75630234760276	7.73809458051273	7.6750144830777	7.90568347713891	7.81267682510202	7.84240264513086
Teu98jVPBJUgKLSSu4	NT5M	11.0611365436308	10.9464663603335	11.0458421697559	11.1162078883342	11.0769029147746	11.2252735872466
BQL68qA6joj7rqyu5U	RPN1	7.57423244991303	7.70164997691833	7.71775810328844	7.70345908435991	7.69850494977138	7.50563372816438
Zey9cOh0NEh3oz_R84	RTN1	7.8969634827588	7.74700422777593	7.87888430537476	7.99616555492928	8.08279686562926	7.86185470901461
BVSQE20yHfeTchESlo	QSOX1	7.55913142458503	7.81055621930298	7.67097105225438	7.62958854907982	7.74827281531805	7.65898090967372
BnuA7fu0u13u9OSWH4	ACLY	13.8408496225839	13.7384573713859	13.9453779462646	13.3835946017337	13.2721835237082	13.187512533548
xWqNz8kKwqaJhADZno	NDUFB11	7.77524213881609	7.76588644691915	7.67736801186602	7.59595848428161	7.60527166027111	7.5784610388292
ED_e1_EdRE__9dG7qE	ETV5	7.83698424582942	8.05408509642434	7.85289875842108	8.2841455968634	8.14976191809596	8.24677318661756
rXFU7v7Ax3p9f6V4oo	SBK1	9.73508985589775	10.0116540093869	9.83426006360851	10.6112914835006	10.2171426597714	10.522261819477
Q8qiryco.gd0GeTnl0	BLMH	9.25185554429169	10.209091223209	9.94466405984423	9.92525801754226	10.1471094968317	9.92188177792937
xqe5ILxOtQlqS1PxJE	RHOQ	11.3105917456164	11.3787124142549	11.4996597018411	11.6223465573108	11.5555629284032	11.3066646384358
H9IkV1VFRyrUgiQ6KA	KDM3A	8.78387152965406	8.72340203145152	8.72074134487021	8.85083577051595	9.11312840718825	8.94544183233454
ujCoxrURzVA6e.jg9E	ARL1	11.9139129927516	11.7009071086011	11.9331116547712	12.0339677249996	11.8726591960829	11.8376214416965
HJPX9gRRpCyedt1NoI	CSNK1D	8.57767053274186	9.38906148618143	9.1590241791098	8.80316712132773	8.80482454177459	9.08815148421531
9UQ4XnmxM4pgvHpfag	GAS8	8.35302388011216	8.72234646398329	8.57916568137846	8.93706305980497	8.88754594162904	8.8777206699567
figy36sER0.VUeJ3dE	ZFP119A	8.79499048044232	8.50673681793017	8.71960352832619	8.73386440351944	8.69338197885747	8.60000812834929
QvXkOgV6D39V7h4pRQ	SNORA65	10.2888601162437	10.1880477854259	10.3820007344701	10.1259855534545	9.864781551728	9.75317078340549
QoseU8154CAJTvr794	SNORA69	8.04812337489403	8.01860570733946	8.2487552994976	7.93175484887141	8.01482265518631	7.85269971734974
cyi3qKvrFwg6dSdeVE	E2F4	10.4541462798513	10.0313228368418	10.0396085313334	9.6630856127834	9.77167551829369	9.6978597675864
xfkKx0qyoSr4ii8gfc	BAP1	9.86752348772728	9.80965469219817	9.55533168409191	9.69927029896997	9.82942276873452	10.0906739330802
9AlF41.qd3oq96sXBU	DGKZ	8.9211173891407	8.90102360222954	8.58718908492862	8.76674471004506	8.87165555103231	8.81088361773841
KWu3QBUrqgD_o7oALk	NPFFR2	7.61994793853071	7.54533154263123	7.60442357243924	7.70891162151418	7.44310502202218	7.66301739387806
9iCjSPPiOl5eMHh3jc	REXO2	10.7197613812008	10.5819082805418	10.4625286042987	10.3268419615926	10.4895506418817	10.160199883667
xOG1rtd0XUBlXUVJJ0	0610010K14RIK	8.92518569185759	9.22396777471607	8.9489982692549	9.17946468944752	9.39103510028383	9.41591618928464
iG9K4B7mXzoXnoIKng	RARS	11.2569805840351	11.0733250269136	10.953673792611	11.05897220687	10.8911980288908	10.6907478515557
cll.vBJBCDnkucQbno	CCDC117	10.782142960396	10.0819181360172	10.564983771221	10.7700210250352	10.6739717059585	10.7493112305714
NX_k.hKExFcrBASRMU	SMEK2	12.1531281229695	11.814085894198	11.8351325551092	11.8602129194957	11.0397368418118	11.4589681733164
rlJ1Cip0qCK5NniP_Q	RPRML	7.69616987169324	7.51894206070403	7.61988262738117	7.52515095746978	7.46428850660062	7.72048097705235
KHrOuvUSpIVZ5HTaig	CNOT6	7.59802206961897	7.59590377183517	7.48346504239893	7.62901498350695	7.4081438957024	7.44983394956616
iokKvDgEIBolotyyvE	TSR1	10.6495842313994	10.6496302723406	10.5119573103495	10.0377585139767	10.1700154398887	10.367253637359
Nkdb17jAcczzAuE1JU	SLC16A6	11.6254085629325	10.4965342843875	11.103273161239	10.7750024901316	11.0782200585121	11.0636799087694
9VyoteIHrtLyeSsyes	PIK3R6	7.80927268918828	7.99839760328764	7.91141958700918	7.99029836249578	7.94444285788884	7.86774956422108
KWIyCJF4HkU.VK2JSM	DDX1	10.8158313178867	12.2077775615341	12.0322480869932	11.5502236019985	11.5828059097279	10.9125773582336
WhXsxnQi8P477BKb7g	SPTSSA	11.6180528461701	11.0088603020033	11.8097707088207	11.5395535558601	11.0334020172791	11.7269448568019
ikCjRR4qViPtNIQEn0	PLD4	9.81995961418029	10.7340240163212	9.98237996847635	10.8846078122811	10.7991761456044	11.0449313820746
